Row_ID,Order_ID,Order_Date,Order_month,Order_year,Ship_Date,Ship_Mode,Shipping_duration,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_margine
1,CA-2016-152156,08-11-2016,Nov,2016,11-11-2016,Second Class,3,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420    ,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,262.00,2.00,0%,41.91,16%
2,CA-2016-152156,08-11-2016,Nov,2016,11-11-2016,Second Class,3,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420    ,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.90,3.00,0%,219.58,30%
3,CA-2016-138688,12-06-2016,Jun,2016,16-06-2016,Second Class,4,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036    ,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.60,2.00,0%,6.87,47%
4,US-2015-108966,11-10-2015,Oct,2015,18-10-2015,Standard Class,7,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311    ,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.60,5.00,45%,-383.03,-40%
5,US-2015-108966,11-10-2015,Oct,2015,18-10-2015,Standard Class,7,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311    ,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.40,2.00,20%,2.52,11%
6,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.90,7.00,0%,14.17,29%
7,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.30,4.00,0%,1.97,27%
8,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.20,6.00,20%,90.72,10%
9,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3.00,20%,5.78,31%
10,CA-2014-115812,09-06-2014,Jun,2014,14-06-2014,Standard Class,5,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032    ,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5.00,0%,34.47,30%
